,Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant
0,False,mp-1080623,Si2N3,Orthorhombic,Cmc2_1,36,10,0.35585812400000005,-0.8770224413333311,False,126.44547939210858,2.578979625468574,0.0,False,True,FM,1.970756999999999,,,,,,,,,,,,,,,
1,True,mp-971682,Si3N2,Cubic,Pm-3m,221,20,0.250964456000001,-0.6736959679999981,False,300.80932885859437,2.47902624111651,0.1222,True,False,NM,0.000364199999999,,,,,,,0.033,,,,,,,,
2,True,mp-11607,Si3N4,Cubic,I-43d,220,14,0.09949754000000101,-1.221445922857142,False,136.57196749471183,3.411328170996549,4.026700000000001,False,False,NM,7.1e-05,,,,,,,0.912,,,,,0.024996203118625,9.408913850001513,4.716144600001592,4.69276924999992
3,True,mp-1244914,Si3N4,Triclinic,P1,1,105,0.6416110814761921,-0.6793323813809511,False,1224.4880824032464,2.853591268741165,0.907099999999999,True,False,NM,0.0003089,,,,,,,,,,,,,,,
4,True,mp-1244972,Si3N4,Triclinic,P1,1,105,0.6525968523333351,-0.6683466105238091,False,1231.439457341729,2.837482979606902,0.9524999999999991,False,False,NM,0.0018206,,,,,,,,,,,,,,,
5,True,mp-1245123,Si3N4,Triclinic,P1,1,105,0.745838398142858,-0.575105064714285,False,1287.0888652069268,2.714799727571065,0.6301999999999991,True,False,NM,0.003227099999999,,,,,,,,,,,,,,,
6,True,mp-1245229,Si3N4,Triclinic,P1,1,105,0.36439846319047703,-0.9565449996666671,False,1167.8045128793856,2.992100528887412,1.4928,False,False,NM,9.12e-05,,,,,,,,,,,,,,,
7,True,mp-1245249,Si3N4,Triclinic,P1,1,105,0.5863529750952391,-0.734590487761904,False,1202.104316644249,2.906726523017375,0.6779000000000001,False,False,NM,0.000371199999999,,,,,,,,,,,,,,,
8,True,mp-1245263,Si3N4,Triclinic,P1,1,105,0.386572600333334,-0.9343708625238091,False,1164.7375871600716,2.999979170538526,1.994099999999999,True,False,NM,0.0014842,,,,,,,,,,,,,,,
9,True,mp-1245287,Si3N4,Triclinic,P1,1,105,0.625723133761905,-0.695220329095237,False,1214.5844558901292,2.876859228420422,0.181899999999999,True,False,NM,0.000326399999999,,,,,,,,,,,,,,,
10,True,mp-2075,Si3N4,Cubic,Fd-3m,227,14,0.147139670000001,-1.173803792857143,False,118.06562763064186,3.94604093869418,3.333299999999999,False,False,NM,0.0,,,,,,,0.585,,,,,,,,
11,False,mp-2245,Si3N4,Trigonal,P31c,159,28,0.0035396235714290005,-1.317403839285715,False,292.42902133025774,3.186358166257212,4.654700000000001,False,False,NM,0.0,,,,,,,0.079,,,,,0.14337097265485702,8.151321686666849,3.869449786666848,4.2818719
12,True,mp-40793,Si3N4,Hexagonal,P6_3/mmc,194,14,0.49511214214285804,-0.8258313207142861,False,132.65423022126643,3.5120764660578923,1.8186,True,False,NM,0.0,,,,,,,-4.783,,,,,,,,
13,False,mp-568867,Si3N4,Trigonal,P31c,159,28,0.706888974642856,-0.6140544882142871,False,297.65060327184403,3.130460983192679,2.3538,False,False,NM,0.0010406,,,,,,,9.92,,,,,,,,
14,False,mp-583712,Si3N4,Hexagonal,P6_3/m,176,42,0.634883422857143,-0.6860600399999991,False,1099.4777845266747,1.271217499725204,2.5275,False,False,NM,0.000152199999999,,,,,,,,,,,,,,,
15,True,mp-603694,Si3N4,Trigonal,P31c,159,28,0.743741592857144,-0.57720187,False,290.12401522409795,3.21167346124912,0.0,False,True,FM,4.0135381,,,,,,,,,,,,,,,
16,True,mp-641539,Si3N4,Orthorhombic,Pnma,62,28,0.287706036428572,-1.033237426428572,False,243.07352445217603,3.833340559266036,3.907599999999998,False,False,NM,0.0025233,,,,,,,0.9390000000000001,,,,,,,,
17,False,mp-988,Si3N4,Hexagonal,P6_3/m,176,14,0.0,-1.320943462857144,True,145.49663109055865,3.202079639858874,4.2503,False,False,NM,0.0,,,,,,,0.361,,,,,,8.157832289998682,3.893353203330646,4.264479086668037
