,Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant
0,False,mp-1194828,Si17O37,Monoclinic,C2/m,12,108,0.171914459598765,-2.91909292074074,False,2018.092876926347,1.759911521415707,0.09050000000000001,False,False,FM,2.6811936,,,,,,,,,,,,,,,
1,False,mp-1199711,Si18O29,Monoclinic,P2/m,10,188,0.214746118067376,-2.814363742765957,False,3734.7399566493805,1.724273723364541,0.092599999999999,True,False,NM,3.6956549,,,,,,,,,,,,,,,
2,True,mp-1063118,Si2O,Monoclinic,Cm,8,3,0.798463743611111,-0.8379519283333331,False,44.23543796551016,2.709180109069742,0.0,False,True,NM,0.0008014,,,,,,,,,,,,,,,
3,True,mp-1208867,Si2O,Cubic,Fd-3m,227,6,2.324260178611111,0.6878445066666661,False,204.82542827222937,1.17018448015028,0.0,False,True,NM,0.000120599999999,,,,,,,,,,,,,,,
4,False,mp-1179195,Si2O3,Monoclinic,C2/c,15,50,0.7801976755000001,-2.165350534,False,994.5232770922947,1.739295903080365,0.9888999999999991,False,False,FiM,4.0322568,,,,,,,,,,,,,,,
5,False,mp-862998,Si2O5,Orthorhombic,Ima2,46,14,0.5778986454761901,-2.227385363571429,False,193.8522878150404,2.332830694642392,3.0491,True,False,NM,0.0,,,,,,,,,,,,,,,
6,True,mp-32566,Si3O,Monoclinic,C2/c,15,16,0.45091060583333303,-0.776401148124999,False,312.7142846215067,2.129468934348686,0.1592,False,False,NM,0.0003915,,,,,,,,,,,,,,,
7,True,mp-32881,Si3O,Monoclinic,C2/c,15,16,0.44489795083333306,-0.7824138031250001,False,310.48217325699835,2.1447780638837752,0.1885,False,False,NM,0.000395799999999,,,,,,,,,,,,,,,
8,True,mp-1250755,Si3O7,Triclinic,P1,1,20,0.600260032500001,-2.345288176999999,False,352.79786438736227,1.8474296131355872,0.20499999999999902,False,False,FM,2.0000001,,,,,,,,,,,,,,,
9,True,mp-638900,Si3O7,Triclinic,P1,1,20,0.918595490999999,-2.0269527185,False,671.6225726107249,0.9704397212062941,0.10310000000000001,False,False,FM,6.0005781,,,,,,,,,,,,,,,
10,True,mp-1219421,Si3O8,Orthorhombic,P2_12_12_1,19,44,0.5728086027272721,-2.104962496818182,False,654.3232729544848,2.154606167137081,0.07060000000000001,False,False,FM,8.0017246,,,,,,,,,,,,,,,
11,True,mp-1221354,Si48O107,Orthorhombic,Imm2,44,155,0.185102965516128,-2.855462928161291,False,3697.1842249835704,1.3743744763688182,0.030199999999999002,True,False,FiM,13.9999976,,,,,,,,,,,,,,,
12,True,mp-1179275,Si4O9,Tetragonal,I4_1/amd,141,52,0.24845519147435802,-2.7726198951923093,False,848.625214974505,2.006336512224447,0.0,False,True,FM,8.0011592,,,,,,,,,,,,,,,
13,True,mp-1179651,Si5O8,Triclinic,P1,1,26,0.30336275512820504,-2.7177123315384613,False,502.089367918681,1.775486230907172,3.4528,False,False,NM,0.0008565,,,,,,,,,,,,,,,
14,True,mp-1173536,Si6O13,Monoclinic,Pm,6,76,0.823657225526316,-2.276919837105263,False,1299.6540560279852,1.924209263159746,0.0835,False,False,FiM,2.0022322,,,,,,,,,,,,,,,
15,True,mp-530027,Si6O13,Hexagonal,P6/mcc,192,76,0.340507516578949,-2.76006954605263,False,1448.5654012914977,1.726402115694977,2.0846,False,False,FM,3.9671351,,,,,,,,,,,,,,,
16,True,mp-673849,Si6O13,Monoclinic,Pm,6,76,0.9178731502631591,-2.182703912368421,False,1281.6903906413418,1.951178218837088,0.0451,True,False,FM,12.0,,,,,,,,,,,,,,,
17,True,mp-731864,Si6O13,Monoclinic,C2/m,12,38,0.199692423421053,-2.900884639210526,False,945.3496773982312,1.32268854229413,0.008799999999999001,False,False,FM,4.005089,,,,,,,,,,,,,,,
18,True,mp-32761,SiO,Hexagonal,P6_422,181,12,0.40747412541666606,-2.0471493825,False,170.2302929034805,2.58019994380181,0.0,False,True,NM,0.00021899999999900002,,,,,,,,,,,,,,,
19,True,mp-10064,SiO2,Cubic,Fm-3m,225,3,1.27794353388889,-1.99488781,False,24.062559428747754,4.146372204259828,1.739599999999999,False,False,NM,3.96e-05,,,,,,,-8.2,,,,,,,,
20,True,mp-1021503,SiO2,Cubic,Pn-3m,224,6,0.39713604888889,-2.875695295,False,55.17771207397914,3.616399587026764,4.528499999999999,False,False,NM,0.0007363,,,,,,,2.474,,,,,,,,
21,False,mp-1071820,SiO2,Orthorhombic,Ibam,72,6,0.44245167555555603,-2.8303796683333333,False,81.9566954924866,2.434757208771468,4.716,False,False,NM,0.0,,,,,,,,,,,,,,,
22,False,mp-10851,SiO2,Hexagonal,P6_422,181,9,0.009073353333333001,-3.263757990555557,False,122.89583673299464,2.435533950482232,5.5318000000000005,False,False,NM,0.0,,,,,,,,,,,,0.153285,4.521753753333923,2.169449583333922,2.35230417
23,False,mp-10948,SiO2,Orthorhombic,Pbcn,60,12,0.25983911055555703,-3.012992233333333,False,94.6397959302569,4.216929108859675,5.2394,True,False,NM,0.0,,,,,,,,,,,,,,,
24,False,mp-11684,SiO2,Monoclinic,C2/c,15,24,0.013725869722224001,-3.259105474166666,False,274.6752153163456,2.90589968123047,5.5458,False,False,NM,0.0,,,,,,,0.761,,,,,,,,
25,True,mp-1179447,SiO2,Tetragonal,I4_1/amd,141,24,0.023373383055556002,-3.249457960833334,False,450.66383562966627,1.771117532682573,5.6304,True,False,NM,0.0,,,,,,,,,,,,,,,
26,True,mp-1179454,SiO2,Tetragonal,I4/mmm,139,12,0.018839073888889002,-3.25399227,False,208.93271050213397,1.910133216362803,5.5301,False,False,NM,0.0,,,,,,,,,,,,,,,
27,True,mp-1179488,SiO2,Monoclinic,C2/m,12,84,1.100395276269842,-2.172436067619048,False,1416.8452042344081,1.971722220504259,0.141899999999999,True,False,NM,0.021696399999999002,,,,,,,,,,,,,,,
28,True,mp-1179529,SiO2,Tetragonal,P4_12_12,92,36,0.17268272416666602,-3.100148619722223,False,955.7862229154617,1.2526524260754242,5.447599999999999,True,False,NM,0.0,,,,,,,,,,,,,,,
29,False,mp-1188220,SiO2,Cubic,I-43m,217,18,0.016530015555556003,-3.256301328333334,False,354.50614748027886,1.688641987528753,5.451799999999999,True,False,NM,0.0,,,,,,,,,,,,,,,
